Feature,Feature_Value,Predicted_Price
Mileage,4000.0,28644.252
Mileage,7520.408163265306,27637.42
Mileage,11040.816326530612,26245.082
Mileage,14561.224489795917,26197.117
Mileage,18081.632653061224,25279.19
Mileage,21602.04081632653,23639.596
Mileage,25122.448979591834,23098.35
Mileage,28642.85714285714,23064.229
Mileage,32163.26530612245,22374.146
Mileage,35683.67346938775,22366.893
Mileage,39204.08163265306,21605.781
Mileage,42724.489795918365,20391.979
Mileage,46244.89795918367,20384.959
Mileage,49765.30612244898,19797.248
Mileage,53285.71428571428,19332.5
Mileage,56806.12244897959,19286.717
Mileage,60326.5306122449,19134.229
Mileage,63846.9387755102,18840.654
Mileage,67367.3469387755,18447.77
Mileage,70887.75510204081,17960.848
Mileage,74408.16326530612,17894.389
Mileage,77928.57142857142,17841.816
Mileage,81448.97959183673,17360.553
Mileage,84969.38775510204,17373.258
Mileage,88489.79591836734,16942.82
Mileage,92010.20408163265,16300.926
Mileage,95530.61224489796,16258.398
Mileage,99051.02040816327,15810.267
Mileage,102571.42857142857,15676.469
Mileage,106091.83673469388,15578.056
Mileage,109612.24489795919,15546.6045
Mileage,113132.65306122448,15463.026
Mileage,116653.0612244898,15167.396
Mileage,120173.4693877551,15061.114
Mileage,123693.8775510204,15048.278
Mileage,127214.28571428571,14872.863
Mileage,130734.69387755102,14874.708
Mileage,134255.10204081633,14827.471
Mileage,137775.51020408163,14772.576
Mileage,141295.91836734692,14354.945
Mileage,144816.32653061225,14300.846
Mileage,148336.73469387754,14239.735
Mileage,151857.14285714284,14196.126
Mileage,155377.55102040817,14024.396
Mileage,158897.95918367346,13979.926
Mileage,162418.36734693876,13893.21
Mileage,165938.77551020408,13887.805
Mileage,169459.18367346938,13853.647
Mileage,172979.59183673467,13761.19
Mileage,176500.0,13759.471
car_age,1.0,25151.83
car_age,1.6734693877551021,25151.83
car_age,2.3469387755102042,25030.148
car_age,3.020408163265306,24996.63
car_age,3.693877551020408,24996.63
car_age,4.36734693877551,24759.486
car_age,5.040816326530612,24480.123
car_age,5.714285714285714,24480.123
car_age,6.387755102040816,24122.125
car_age,7.061224489795918,23469.049
car_age,7.73469387755102,23469.049
car_age,8.408163265306122,22558.973
car_age,9.081632653061224,21596.408
car_age,9.755102040816325,21596.408
car_age,10.428571428571429,20334.61
car_age,11.10204081632653,18728.521
car_age,11.775510204081632,18728.521
car_age,12.448979591836734,18213.04
car_age,13.122448979591836,17626.61
car_age,13.795918367346939,17626.61
car_age,14.46938775510204,17338.248
car_age,15.142857142857142,17213.045
car_age,15.816326530612244,17213.045
car_age,16.489795918367346,16866.545
car_age,17.163265306122447,16776.959
car_age,17.83673469387755,16776.959
car_age,18.51020408163265,16641.725
car_age,19.183673469387756,16487.033
car_age,19.857142857142858,16487.033
car_age,20.53061224489796,16535.092
car_age,21.20408163265306,16528.676
car_age,21.877551020408163,16528.676
car_age,22.551020408163264,16379.751
car_age,23.224489795918366,16139.484
car_age,23.897959183673468,16139.484
car_age,24.57142857142857,16375.486
car_age,25.24489795918367,16561.688
car_age,25.918367346938773,16561.688
car_age,26.591836734693878,16917.13
car_age,27.26530612244898,16934.049
car_age,27.93877551020408,16934.049
car_age,28.612244897959183,17094.402
car_age,29.285714285714285,17188.586
car_age,29.959183673469386,17188.586
car_age,30.632653061224488,17256.094
car_age,31.30612244897959,17268.656
car_age,31.97959183673469,17268.656
car_age,32.65306122448979,17263.336
car_age,33.326530612244895,17342.217
car_age,34.0,17405.48
Engine_Displacement_L,0.7,14919.221
Engine_Displacement_L,0.8122448979591836,15055.011
Engine_Displacement_L,0.9244897959183673,15057.136
Engine_Displacement_L,1.036734693877551,15127.091
Engine_Displacement_L,1.1489795918367347,15087.31
Engine_Displacement_L,1.2612244897959184,15139.084
Engine_Displacement_L,1.3734693877551019,15290.228
Engine_Displacement_L,1.4857142857142858,15288.025
Engine_Displacement_L,1.5979591836734692,15213.249
Engine_Displacement_L,1.710204081632653,15390.623
Engine_Displacement_L,1.8224489795918366,15493.998
Engine_Displacement_L,1.9346938775510203,15398.625
Engine_Displacement_L,2.046938775510204,15808.638
Engine_Displacement_L,2.1591836734693874,16233.9795
Engine_Displacement_L,2.2714285714285714,16342.769
Engine_Displacement_L,2.3836734693877553,16342.769
Engine_Displacement_L,2.4959183673469387,16402.512
Engine_Displacement_L,2.608163265306122,17076.348
Engine_Displacement_L,2.720408163265306,17084.266
Engine_Displacement_L,2.83265306122449,17197.588
Engine_Displacement_L,2.944897959183673,17769.762
Engine_Displacement_L,3.057142857142857,17812.656
Engine_Displacement_L,3.169387755102041,18104.695
Engine_Displacement_L,3.2816326530612248,18971.344
Engine_Displacement_L,3.393877551020408,18952.824
Engine_Displacement_L,3.5061224489795917,19308.047
Engine_Displacement_L,3.6183673469387756,19255.453
Engine_Displacement_L,3.7306122448979595,19302.432
Engine_Displacement_L,3.8428571428571425,19572.377
Engine_Displacement_L,3.9551020408163264,19706.242
Engine_Displacement_L,4.06734693877551,19686.65
Engine_Displacement_L,4.179591836734694,19703.875
Engine_Displacement_L,4.291836734693877,19680.53
Engine_Displacement_L,4.404081632653061,19703.988
Engine_Displacement_L,4.516326530612245,19724.8
Engine_Displacement_L,4.628571428571428,19774.64
Engine_Displacement_L,4.740816326530612,19902.012
Engine_Displacement_L,4.853061224489796,19978.537
Engine_Displacement_L,4.96530612244898,20427.074
Engine_Displacement_L,5.077551020408164,20288.293
Engine_Displacement_L,5.189795918367347,21014.977
Engine_Displacement_L,5.302040816326531,21417.2
Engine_Displacement_L,5.414285714285715,21447.002
Engine_Displacement_L,5.5265306122448985,21488.4
Engine_Displacement_L,5.6387755102040815,21335.021
Engine_Displacement_L,5.751020408163265,20705.242
Engine_Displacement_L,5.863265306122449,20785.986
Engine_Displacement_L,5.975510204081633,21895.926
Engine_Displacement_L,6.087755102040816,21897.639
Engine_Displacement_L,6.2,22248.58
flaw_severity_score,0.0,18902.334
flaw_severity_score,5.0,18360.06
flaw_severity_score,10.0,17889.234
flaw_severity_score,15.0,17202.969
flaw_severity_score,20.0,17215.492
flaw_severity_score,30.0,17225.264
flaw_severity_score,35.0,17279.463
flaw_severity_score,40.0,17904.307
flaw_severity_score,45.0,17832.205
flaw_severity_score,50.0,17874.057
flaw_severity_score,55.0,17874.057
flaw_severity_score,60.0,17874.057
flaw_severity_score,65.0,17874.057
flaw_severity_score,70.0,17874.057
flaw_severity_score,80.0,17874.057
flaw_severity_score,90.0,17874.057
flaw_severity_score,95.0,17874.057
flaw_severity_score,100.0,17874.057
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
mileage_per_year,,18864.855
SP500_Close,3640.469970703125,18812.715
SP500_Close,3687.6012519929845,18835.91
SP500_Close,3734.732533282844,18735.4
SP500_Close,3781.863814572704,18693.885
SP500_Close,3828.9950958625636,18697.291
SP500_Close,3876.126377152423,18705.637
SP500_Close,3923.257658442283,18866.582
SP500_Close,3970.3889397321427,19050.594
SP500_Close,4017.5202210220023,19263.334
SP500_Close,4064.651502311862,19304.79
SP500_Close,4111.782783601721,19312.117
SP500_Close,4158.914064891581,19333.07
SP500_Close,4206.045346181441,19250.441
SP500_Close,4253.176627471301,19209.67
SP500_Close,4300.30790876116,19195.916
SP500_Close,4347.43919005102,19152.156
SP500_Close,4394.5704713408795,19220.39
SP500_Close,4441.701752630739,19244.236
SP500_Close,4488.833033920599,19191.506
SP500_Close,4535.964315210458,19132.129
SP500_Close,4583.095596500318,19144.377
SP500_Close,4630.226877790178,19136.016
SP500_Close,4677.358159080038,19127.64
SP500_Close,4724.489440369897,18981.678
SP500_Close,4771.620721659757,18835.75
SP500_Close,4818.752002949616,18785.48
SP500_Close,4865.883284239476,18763.385
SP500_Close,4913.014565529336,18763.385
SP500_Close,4960.145846819196,18725.396
SP500_Close,5007.277128109055,18629.26
SP500_Close,5054.408409398915,18544.916
SP500_Close,5101.5396906887745,18303.693
SP500_Close,5148.670971978634,18256.377
SP500_Close,5195.802253268494,18214.777
SP500_Close,5242.933534558353,18096.236
SP500_Close,5290.064815848213,18037.615
SP500_Close,5337.196097138072,18003.414
SP500_Close,5384.327378427932,17918.57
SP500_Close,5431.458659717792,17893.945
SP500_Close,5478.589941007652,17824.246
SP500_Close,5525.721222297511,17807.545
