URL,Sold_Price,Make,Model,Mileage,Title Status,Seller Type,Engine,Drivetrain,Transmission,Body Style,Exterior Color,Interior Color
https://carsandbids.com/auctions/rGl5LwE9/2005-mercedes-benz-cl600,"$10,500",Mercedes-Benz,"CL-Class
Save","42,400",Clean (AL),Private Party,5.5L Turbocharged V12,Rear-wheel drive,Automatic (5-Speed),Coupe,Brilliant Silver Metallic,Anthracite
https://carsandbids.com/auctions/rNq187BG/2006-mercedes-benz-ml350,"$7,300",Mercedes-Benz,"ML-Class
Save","66,900",Clean (PA),Dealer,3.5L V6,4WD/AWD,Automatic (7-Speed),SUV/Crossover,Iridium Silver Metallic,Gray
https://carsandbids.com/auctions/3qLgo1P1/1972-datsun-510-2-door-sedan,"$35,000",Datsun,"510
Save","94,100 Miles Shown",Clean (KS),Dealer,2.4L Turbocharged I4,Rear-wheel drive,Manual (5-Speed),Sedan,Calvary Blue,Black
https://carsandbids.com/auctions/3v2BpGlN/2020-ford-f-150-lariat-4x4,"$25,500",Ford,"F-150
Save","105,400",Clean (PA),Dealer ($477 Document Fee),5.0L V8,4WD/AWD,Automatic (10-Speed),Truck,Agate Black,Black
https://carsandbids.com/auctions/rMVXDvyk/2004-mercedes-benz-clk55-amg-cabriolet,"$4,900",Mercedes-Benz,"CLK AMG
Save","150,500",Clean (CA),Private Party,5.4L V8,Rear-wheel drive,Automatic (5-Speed),Convertible,Green Black Metallic,Blue
https://carsandbids.com/auctions/rE7OqRYa/2002-porsche-911-carrera-cabriolet,"$23,500",Porsche,"996 911
Save","75,000",Clean (OR),Private Party,3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black
https://carsandbids.com/auctions/3gVmAnGR/1998-lexus-ls-400,"$15,650",Lexus,"LS
Save","45,800",Clean (CA),Private Party,4.0L V8,Rear-wheel drive,Automatic (5-Speed),Sedan,Silver Jade Metallic,Cypress
https://carsandbids.com/auctions/9XbaBVqq/2021-mercedes-benz-s580-4matic,"$55,000",Mercedes-Benz,"S-Class
Save","28,900",Clean (NY),Private Party,4.0L Turbocharged Hybrid V8,4WD/AWD,Automatic (9-Speed),Sedan,Rubellite Red Metallic,Macchiato/Magma Grey
https://carsandbids.com/auctions/3RnlBVaN/2016-volvo-v60-polestar,"$26,500",Volvo,"V60
Save","89,500",Clean (CA),Dealer,3.0L Turbocharged I6,4WD/AWD,Automatic (6-Speed),Wagon,Ice White,Charcoal
https://carsandbids.com/auctions/9e0JkjGN/1994-toyota-supra,"$30,750",Toyota,"Supra
Save","96,000",Clean (NM),Private Party,3.0L I6,Rear-wheel drive,Manual (5-Speed),Coupe,Red,Beige/Black
https://carsandbids.com/auctions/365xQBWP/2011-jeep-wrangler-unlimited-rubicon-4x4,Jeep,"Wrangler
Save","102,200",Clean (CA),Private Party,3.8L V6,4WD/AWD,Automatic (4-Speed),SUV/Crossover,Bright White,Black/Dark Saddle
https://carsandbids.com/auctions/3LaEG67o/2009-audi-a4-avant-20t-quattro,Audi,"A4
Save","52,300 Miles Shown – TMU",Salvage (CO),Dealer,3.0L Supercharged V6,4WD/AWD,Manual (6-Speed),Wagon,Ibis White,Black/White
https://carsandbids.com/auctions/9WLjJpRq/2016-dodge-viper-acr,"$211,000",Dodge,"Viper
Save","9,200",Clean (FL),Private Party,8.4L V10,Rear-wheel drive,Manual (6-Speed),Coupe,Viper White,Black
https://carsandbids.com/auctions/KPdE4XY7/2021-chevrolet-camaro-zl1-coupe,"$53,000",Chevrolet,"Camaro
Save","25,700",Clean (LA),Private Party,6.2L Supercharged V8,Rear-wheel drive,Manual (6-Speed),Coupe,Riverside Blue Metallic,Jet Black/Red
https://carsandbids.com/auctions/3pOLR0Vn/1970-detomaso-mangusta,DeTomaso,"Mangusta
Save","53,900 Miles Shown",Clean (WA),Private Party,289CI V8,Rear-wheel drive,Manual (5-Speed),Coupe,Blue/Yellow,Black/Blue
https://carsandbids.com/auctions/KVQPogj6/1998-subaru-legacy-gt-wagon,"$10,500",Subaru,"Legacy
Save","65,600",Clean (UT),Dealer ($299 Doc Fee),2.0L Turbocharged Flat-4,4WD/AWD,Automatic (4-Speed),Wagon,Aspen White,Black/Gray
