Sold_Price,Make,Mileage,Exterior Color,Interior Color,Gears,Engine_Displacement_L,Title Status_Bill of Sale,Title Status_Clean,Title Status_Exceeds Mechanical Limits,Title Status_Lemon Law Buyback,Title Status_Manufacturer Buyback,Title Status_No Title,Title Status_Not Actual MIleage,Title Status_Not Actual Mileage,Title Status_Prior Salvage,Title Status_Rebuilt,Title Status_Rebuilt Salvage,Title Status_Rebuilt/Salvage,Title Status_Reconstructed,Title Status_Reconstructed/Totaled,Title Status_Registered,Title Status_Salvage,Title Status_Salvaged,Seller Type_Private Party,Drivetrain_Front-wheel drive,Drivetrain_Rear-wheel drive,Transmission_Type_Manual,Body Style_Coupe,Body Style_Hatchback,Body Style_SUV/Crossover,Body Style_Sedan,Body Style_Truck,Body Style_Van/Minivan,Body Style_Wagon,Engine_Cylinders_I4,Engine_Cylinders_I5,Engine_Cylinders_I6,Engine_Cylinders_V10,Engine_Cylinders_V12,Engine_Cylinders_V6,Engine_Cylinders_V8,Engine_Cylinders_W12,Engine_Cylinders_W8,Model_Target_Encoded
7300.0,50,66900.0,11,4,7.0,3.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,6513.75
35000.0,19,,2,1,5.0,2.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,35000.0
25500.0,26,105400.0,1,1,10.0,5.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,40134.61111111111
4900.0,50,150500.0,1,2,5.0,5.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10903.8
23500.0,60,75000.0,11,1,6.0,3.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28971.441860465115
15650.0,42,45800.0,6,5,5.0,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,11606.869565217392
55000.0,50,28900.0,10,3,9.0,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,15447.733333333334
26500.0,80,89500.0,13,4,6.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,52167.0
30750.0,76,96000.0,10,0,5.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,54650.833333333336
211000.0,22,9200.0,13,1,6.0,8.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,87248.9
