Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
Ford,Focus RS,4WD/AWD,Hatchback,Manual,I4
Rezvani,Tank,4WD/AWD,SUV/Crossover,Automatic,V8
Aston Martin,Vantage,Rear-wheel drive,Coupe,Automatic,V8
Bentley,Continental,4WD/AWD,Convertible,Automatic,V8
Beck,Spyder,Rear-wheel drive,Convertible,Manual,H4
Mercedes-Benz,E-Class,4WD/AWD,Coupe,Automatic,I6
BMW,4 Series,4WD/AWD,Coupe,Automatic,I6
Subaru,Crosstrek,4WD/AWD,Hatchback,Automatic,H4
Jaguar,F-Type,Rear-wheel drive,Convertible,Automatic,I4
Genesis,G90,Rear-wheel drive,Sedan,Automatic,V8
Jeep,Gladiator,4WD/AWD,Truck,Automatic,V8
Jeep,Grand Cherokee,4WD/AWD,SUV/Crossover,Automatic,V8
Mazda,ND Miata,Rear-wheel drive,Coupe,Manual,I4
Acura,RDX,4WD/AWD,SUV/Crossover,Automatic,I4
Tesla,Model Y,Rear-wheel drive,SUV/Crossover,Automatic,Electric
Toyota,Corolla,Front-wheel drive,Sedan,Manual,I4
Jaguar,F-Pace,4WD/AWD,SUV/Crossover,Automatic,V6
Volvo,V60,Front-wheel drive,Wagon,Automatic,I4
BMW,i8,4WD/AWD,Coupe,Automatic,I3
Audi,S6,4WD/AWD,Sedan,Automatic,V6
Fiat,124 Spider,Rear-wheel drive,Convertible,Manual,I4
BMW,X5,4WD/AWD,SUV/Crossover,Automatic,I6
BMW,F8X M4,Rear-wheel drive,Convertible,Automatic,I6
BMW,F8X M4,Rear-wheel drive,Coupe,Automatic,I6
Mercedes-Benz,SLC-Class,Rear-wheel drive,Convertible,Automatic,V6
Karma,Revero,Rear-wheel drive,Sedan,Automatic,I3
BMW,4 Series,Rear-wheel drive,Coupe,Manual,I6
Ferrari,Portofino,Rear-wheel drive,Convertible,Automatic,V8
BMW,F8X M4,Rear-wheel drive,Convertible,Manual,I6
Genesis,G70,Rear-wheel drive,Sedan,Manual,I4
BAC,Mono,Rear-wheel drive,Convertible,Manual,I4
Mercedes-Benz,W213 E63 AMG,4WD/AWD,Wagon,Automatic,V8
Land Rover,Range Rover Velar,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,2 Series,Rear-wheel drive,Convertible,Manual,I6
Aston Martin,Vanquish,Rear-wheel drive,Coupe,Automatic,V12
Dodge,Viper,Rear-wheel drive,Convertible,Manual,V10
Mercury,Capri,Rear-wheel drive,Coupe,Manual,I4
Porsche,987 Boxster,Rear-wheel drive,Convertible,Manual,H6
Chevrolet,C/K Series,Rear-wheel drive,Truck,Automatic,V8
Toyota,Land Cruiser,4WD/AWD,SUV/Crossover,Manual,V8
Mercedes-Benz,CLS-Class,Rear-wheel drive,Sedan,Automatic,V8
Audi,R8,4WD/AWD,Convertible,Automatic,V10
Ferrari,458,Rear-wheel drive,Convertible,Automatic,V8
BMW,5 Series,4WD/AWD,Wagon,Automatic,I6
Porsche,997 911,4WD/AWD,Coupe,Automatic,H6
BMW,1 Series,Rear-wheel drive,Coupe,Automatic,I6
Hummer,H2,4WD/AWD,Truck,Automatic,V8
Audi,B8 S4,4WD/AWD,Sedan,Manual,V6
Mercedes-Benz,E-Class,Rear-wheel drive,Convertible,Automatic,V6
BMW,i3,Rear-wheel drive,Hatchback,Automatic,Electric
Chevrolet,Tahoe,4WD/AWD,SUV/Crossover,Automatic,V8
Honda,Civic,Front-wheel drive,Coupe,Manual,I4
Mercedes-Benz,W213 E63 AMG,4WD/AWD,Sedan,Automatic,V8
Chevrolet,Express,Rear-wheel drive,Van/Minivan,Automatic,V8
Mercedes-Benz,C-Class,Rear-wheel drive,Sedan,Automatic,V8
BMW,i8,4WD/AWD,Convertible,Automatic,I3
Volvo,V90,Front-wheel drive,Wagon,Automatic,I4
Porsche,991 911,Rear-wheel drive,Coupe,Automatic,H6
Mercedes-Benz,C-Class,Rear-wheel drive,Convertible,Automatic,I4
Ford,Fiesta,Front-wheel drive,Hatchback,Manual,I4
Mercedes-Benz,E-Class,4WD/AWD,Wagon,Automatic,V6
Porsche,991 911,Rear-wheel drive,Convertible,Automatic,H6
Chevrolet,C7 Corvette,Rear-wheel drive,Coupe,Manual,V8
Porsche,991 911,Rear-wheel drive,Coupe,Manual,H6
Nissan,Titan,4WD/AWD,Truck,Automatic,V8
Chevrolet,C7 Corvette,Rear-wheel drive,Convertible,Automatic,V8
Chevrolet,C7 Corvette,Rear-wheel drive,Coupe,Automatic,V8
BMW,4 Series,Rear-wheel drive,Sedan,Automatic,I6
Mercedes-Benz,GLC AMG,4WD/AWD,SUV/Crossover,Automatic,V8
Volkswagen,Golf,4WD/AWD,Wagon,Manual,I4
Mercedes-Benz,R231 SL,Rear-wheel drive,Convertible,Automatic,V8
Mercedes-Benz,C-Class AMG,4WD/AWD,Sedan,Automatic,V6
McLaren,600LT,Rear-wheel drive,Coupe,Automatic,V8
Aston Martin,DB11,Rear-wheel drive,Coupe,Automatic,V8
Chevrolet,Colorado,4WD/AWD,Truck,Automatic,V6
Nissan,370Z,Rear-wheel drive,Coupe,Automatic,V6
McLaren,570S,Rear-wheel drive,Convertible,Automatic,V8
Audi,TT,4WD/AWD,Convertible,Automatic,I4
Land Rover,Range Rover Sport,4WD/AWD,SUV/Crossover,Automatic,V6
Cadillac,CTS-V,Rear-wheel drive,Sedan,Automatic,V8
Cadillac,CT6,4WD/AWD,Sedan,Automatic,V8
Volkswagen,Golf,Front-wheel drive,Hatchback,Automatic,Electric
Porsche,991 911,4WD/AWD,Convertible,Automatic,H6
Jaguar,XJR,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,S-Class,Rear-wheel drive,Convertible,Automatic,V8
BMW,F06/F12/F13 M6,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,S-Class,4WD/AWD,Coupe,Automatic,V8
Mercedes-Benz,GLE-Class,4WD/AWD,SUV/Crossover,Automatic,V6
Land Rover,Range Rover Velar,4WD/AWD,SUV/Crossover,Automatic,V6
Volvo,XC90,4WD/AWD,SUV/Crossover,Automatic,I4
Volkswagen,Golf,4WD/AWD,Wagon,Automatic,I4
Subaru,WRX,4WD/AWD,Sedan,Manual,I4
Caterham,Seven,Rear-wheel drive,Convertible,Manual,I4
Rolls-Royce,Ghost,Rear-wheel drive,Sedan,Automatic,V12
Maserati,Quattroporte,4WD/AWD,Sedan,Automatic,V6
Lexus,IS,4WD/AWD,Sedan,Automatic,V6
Ferrari,GTC4Lusso,Rear-wheel drive,Hatchback,Automatic,V8
Porsche,991 911,4WD/AWD,Coupe,Automatic,H6
Nissan,NV,4WD/AWD,Van/Minivan,Automatic,V8
Maserati,GranTurismo,Rear-wheel drive,Convertible,Automatic,V8
Mercedes-Benz,S-Class,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,SL AMG,Rear-wheel drive,Convertible,Automatic,V8
Ferrari,488,Rear-wheel drive,Coupe,Automatic,V8
Ford,Fusion,Rear-wheel drive,Coupe,Manual,V8
Mercedes-Benz,E-Class,4WD/AWD,Coupe,Automatic,V6
Lexus,LS,4WD/AWD,Sedan,Automatic,V6
BMW,2 Series,Rear-wheel drive,Coupe,Manual,I6
Porsche,991 911,4WD/AWD,Coupe,Manual,H6
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Convertible,Automatic,I6
Jeep,Wrangler,4WD/AWD,Truck,Automatic,I4
BMW,4 Series,4WD/AWD,Coupe,Manual,I6
Ford,F-150,Rear-wheel drive,Truck,Automatic,V6
Jaguar,I-Pace,4WD/AWD,SUV/Crossover,Automatic,Electric
BMW,7 Series,Rear-wheel drive,Sedan,Automatic,I6
Subaru,WRX,4WD/AWD,Sedan,Automatic,H4
MINI,Cooper Clubman,Front-wheel drive,Wagon,Manual,I4
Lamborghini,Aventador,4WD/AWD,Coupe,Automatic,V12
Honda,Accord,Front-wheel drive,Sedan,Manual,I4
Land Rover,Discovery,4WD/AWD,SUV/Crossover,Automatic,I4
Audi,A7,4WD/AWD,Sedan,Automatic,V6
Cadillac,Escalade,Rear-wheel drive,SUV/Crossover,Automatic,V8
Porsche,991 911,Rear-wheel drive,Convertible,Manual,H6
Saleen,S1,Rear-wheel drive,Coupe,Manual,I4
Lexus,LX,4WD/AWD,SUV/Crossover,Automatic,V8
Jaguar,XE,4WD/AWD,Sedan,Automatic,V6
Ferrari,812,Rear-wheel drive,Coupe,Automatic,V12
Audi,A8,4WD/AWD,Sedan,Automatic,V8
Land Rover,Range Rover,4WD/AWD,SUV/Crossover,Automatic,V6
Ford,GT,Rear-wheel drive,Coupe,Automatic,V6
Land Rover,Range Rover Velar,4WD/AWD,SUV/Crossover,Automatic,I4
BMW,F8X M4,Rear-wheel drive,Coupe,Manual,I6
Cadillac,ATS-V,Rear-wheel drive,Coupe,Manual,V6
Ford,Mustang,Rear-wheel drive,Coupe,Manual,I4
BMW,5 Series,Rear-wheel drive,Sedan,Automatic,I6
Volvo,XC60,Front-wheel drive,SUV/Crossover,Automatic,I4
Cadillac,CT6-V,4WD/AWD,Sedan,Automatic,V8
GMC,Canyon,4WD/AWD,Truck,Automatic,V6
Audi,S5,4WD/AWD,Hatchback,Automatic,V6
Tesla,Model 3,4WD/AWD,Sedan,Automatic,Other
Hyundai,Veloster,Front-wheel drive,Coupe,Manual,I4
Ferrari,GTC4Lusso,4WD/AWD,Hatchback,Automatic,V12
Maserati,Quattroporte,Rear-wheel drive,Sedan,Automatic,V6
Fiat,500 Abarth,Front-wheel drive,Hatchback,Manual,I4
Maserati,Ghibli,Rear-wheel drive,Sedan,Automatic,V6
Toyota,Tundra,Rear-wheel drive,Truck,Automatic,V8
BMW,6 Series,4WD/AWD,Sedan,Automatic,V8
BMW,3 Series,Rear-wheel drive,Sedan,Manual,I4
BMW,F06/F12/F13 M6,Rear-wheel drive,Coupe,Automatic,V8
McLaren,570S,Rear-wheel drive,Coupe,Automatic,V8
Mercedes-Benz,B-Class,Front-wheel drive,Hatchback,Automatic,Electric
Maserati,GranTurismo,Rear-wheel drive,Coupe,Automatic,V8
Bentley,Flying Spur,4WD/AWD,Sedan,Automatic,V8
Lexus,LS,4WD/AWD,Sedan,Automatic,V8
Mercedes-Benz,CLS AMG,4WD/AWD,Sedan,Automatic,V8
BMW,3 Series,4WD/AWD,Wagon,Automatic,I4
BMW,3 Series,4WD/AWD,Sedan,Manual,I6
Other,Golf Cart,Rear-wheel drive,Convertible,Automatic,Electric
Jaguar,XJ,Rear-wheel drive,Sedan,Automatic,V8
Fiat,500,Front-wheel drive,Hatchback,Automatic,Electric
Jaguar,F-Type,Rear-wheel drive,Convertible,Automatic,V6
Ferrari,California,Rear-wheel drive,Convertible,Automatic,V8
BMW,7 Series,Rear-wheel drive,Sedan,Automatic,V8
Genesis,G90,4WD/AWD,Sedan,Automatic,V8
McLaren,570GT,Rear-wheel drive,Coupe,Automatic,V8
BMW,3 Series,Rear-wheel drive,Sedan,Manual,I6
Mercedes-Benz,S-Class,Rear-wheel drive,Sedan,Automatic,V6
Ford,Super Duty,Rear-wheel drive,Truck,Automatic,V8
BMW,X3,Rear-wheel drive,SUV/Crossover,Automatic,I4
Nissan,Juke,4WD/AWD,SUV/Crossover,Automatic,I4
BMW,6 Series,Rear-wheel drive,Sedan,Automatic,I6
Chevrolet,SS,Rear-wheel drive,Sedan,Automatic,V8
Tesla,Model S,Rear-wheel drive,Sedan,Automatic,Electric
BMW,F80 M3,Rear-wheel drive,Sedan,Manual,I6
Mercedes-Benz,C-Class,4WD/AWD,Convertible,Automatic,I4
BMW,2 Series,Rear-wheel drive,Convertible,Automatic,I6
Jaguar,F-Type,Rear-wheel drive,Coupe,Automatic,V6
Lexus,GS F,Rear-wheel drive,Sedan,Automatic,V8
Chevrolet,SS,Rear-wheel drive,Sedan,Manual,V8
Land Rover,Range Rover Evoque,4WD/AWD,Convertible,Automatic,I4
BMW,Alpina B6 Gran Coupe,4WD/AWD,Sedan,Automatic,V8
BMW,2 Series,Rear-wheel drive,Coupe,Manual,I4
Land Rover,Discovery,4WD/AWD,SUV/Crossover,Automatic,V6
Ford,Focus,Front-wheel drive,Hatchback,Manual,I4
Volkswagen,Golf,Front-wheel drive,Wagon,Automatic,I4
Lexus,LS,Rear-wheel drive,Sedan,Automatic,V8
BMW,5 Series,Rear-wheel drive,Hatchback,Automatic,I6
BMW,F80 M3,Rear-wheel drive,Sedan,Automatic,I6
Chevrolet,C7 Corvette,Rear-wheel drive,Convertible,Manual,V8
Infiniti,Q60,Rear-wheel drive,Coupe,Automatic,V6
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Sedan,Automatic,V6
Jaguar,XE,Rear-wheel drive,Sedan,Automatic,V6
BMW,4 Series,4WD/AWD,Sedan,Automatic,I6
Mercedes-Benz,S-Class,Rear-wheel drive,Convertible,Automatic,V12
Mercedes-Benz,C-Class AMG,4WD/AWD,Convertible,Automatic,V6
Jaguar,F-Type,Rear-wheel drive,Convertible,Manual,V6
BMW,3 Series,4WD/AWD,Hatchback,Automatic,I6
Mercedes-Benz,S-Class AMG,4WD/AWD,Coupe,Automatic,V8
Audi,S6,4WD/AWD,Sedan,Automatic,V8
BMW,7 Series,4WD/AWD,Sedan,Automatic,I6
Radical,RXC,Rear-wheel drive,Convertible,Automatic,V6
Mercedes-Benz,SL AMG,Rear-wheel drive,Convertible,Automatic,V12
Ford,Taurus,4WD/AWD,Sedan,Automatic,V6
Audi,S5,4WD/AWD,Coupe,Manual,V6
Mercedes-Benz,GLS-Class,4WD/AWD,SUV/Crossover,Automatic,V6
Sherp,Pro 1000,4WD/AWD,SUV/Crossover,Manual,I4
Ariel,Atom,Rear-wheel drive,Convertible,Manual,I4
Mercedes-Benz,S-Class AMG,Rear-wheel drive,Convertible,Automatic,V12
Mercedes-Benz,S-Class AMG,4WD/AWD,Convertible,Automatic,V8
ListerBell,STR,Rear-wheel drive,Coupe,Manual,V6
Ferrari,GTC4Lusso,4WD/AWD,Coupe,Automatic,V12
Dodge,Viper,Rear-wheel drive,Coupe,Manual,V10
Alfa Romeo,4C,Rear-wheel drive,Coupe,Automatic,I4
BMW,6 Series,4WD/AWD,Sedan,Automatic,I6
Ariel,Nomad,Rear-wheel drive,Convertible,Manual,I4
Rolls-Royce,Dawn,Rear-wheel drive,Convertible,Automatic,V12
Fiat,124 Spider,Rear-wheel drive,Convertible,Automatic,I4
BMW,F06/F12/F13 M6,Rear-wheel drive,Convertible,Automatic,V8
Jaguar,XF,4WD/AWD,Sedan,Automatic,V6
Jaguar,XF,4WD/AWD,Sedan,Automatic,I4
Mercedes-Benz,SLC-Class,Rear-wheel drive,Convertible,Automatic,I4
Chevrolet,Camaro,Rear-wheel drive,Coupe,Manual,V6
Chevrolet,Camaro,Rear-wheel drive,Convertible,Manual,I4
Audi,A4,4WD/AWD,Sedan,Manual,I4
Bentley,Mulsanne,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,C-Class AMG,Rear-wheel drive,Coupe,Manual,V8
BMW,4 Series,4WD/AWD,Convertible,Automatic,I6
BMW,4 Series,4WD/AWD,Sedan,Manual,I6
Audi,RS7,4WD/AWD,Hatchback,Automatic,V8
Jaguar,XF,Rear-wheel drive,Sedan,Automatic,V6
BMW,3 Series,4WD/AWD,Hatchback,Automatic,I4
BMW,i8,Rear-wheel drive,Coupe,Automatic,I3
Audi,A6,4WD/AWD,Sedan,Automatic,V6
Aston Martin,DB11,Rear-wheel drive,Coupe,Automatic,V12
Porsche,991 911,Rear-wheel drive,Coupe,Automatic,Other
Tesla,Model 3,Rear-wheel drive,Sedan,Automatic,Other
Smart,Fortwo,Rear-wheel drive,Hatchback,Manual,I3
Mercedes-Benz,E-Class,Rear-wheel drive,Sedan,Automatic,I4
Hyundai,Equus,Rear-wheel drive,Sedan,Automatic,V8
MINI,Cooper Countryman,Front-wheel drive,SUV/Crossover,Manual,I4
Audi,S7,4WD/AWD,Sedan,Automatic,V8
BMW,6 Series,Rear-wheel drive,Coupe,Automatic,I6
Mercedes-Benz,S-Class AMG,4WD/AWD,Sedan,Automatic,V8
Toyota,Sequoia,4WD/AWD,SUV/Crossover,Automatic,V8
Cadillac,ELR,Front-wheel drive,Coupe,Automatic,I4
Nissan,Titan,Rear-wheel drive,Truck,Automatic,V8
Porsche,981 Cayman,Rear-wheel drive,Coupe,Manual,H6
Honda,CR-Z,Front-wheel drive,Hatchback,Manual,I4
Mercedes-Benz,GL AMG,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,X5,Rear-wheel drive,SUV/Crossover,Automatic,I6
Volvo,V60,4WD/AWD,Wagon,Automatic,I6
Porsche,Cayenne S,4WD/AWD,SUV/Crossover,Automatic,V6
Aston Martin,Rapide,Rear-wheel drive,Sedan,Automatic,V12
Porsche,981 Boxster,Rear-wheel drive,Convertible,Automatic,H6
Mercedes-Benz,W212 E63 AMG,4WD/AWD,Wagon,Automatic,V8
MINI,Cooper Countryman,Front-wheel drive,SUV/Crossover,Automatic,I4
Volkswagen,Beetle,Front-wheel drive,Convertible,Automatic,I4
Mercedes-Benz,S-Class AMG,Rear-wheel drive,Coupe,Automatic,V12
Bentley,Continental,4WD/AWD,Coupe,Automatic,V8
Audi,B8 S4,4WD/AWD,Sedan,Automatic,V6
Porsche,981 Boxster,Rear-wheel drive,Convertible,Manual,H6
Ferrari,FF,4WD/AWD,Coupe,Automatic,V12
BMW,F10 M5,Rear-wheel drive,Sedan,Automatic,V8
Dodge,Ram,4WD/AWD,Truck,Automatic,I6
Mercedes-Benz,E-Class AMG,4WD/AWD,Sedan,Automatic,V8
Jaguar,F-Type,Rear-wheel drive,Coupe,Manual,V6
Mercedes-Benz,CLS-Class,4WD/AWD,Sedan,Automatic,V8
International,7400,4WD/AWD,Truck,Automatic,I6
Cadillac,ATS-V,Rear-wheel drive,Coupe,Automatic,V6
Volvo,S60,4WD/AWD,Sedan,Automatic,I6
Cadillac,ATS-V,Rear-wheel drive,Sedan,Manual,V6
Mercedes-Benz,S-Class AMG,Rear-wheel drive,Sedan,Automatic,V12
BMW,4 Series,Rear-wheel drive,Convertible,Automatic,I4
Volkswagen,Touareg,4WD/AWD,SUV/Crossover,Automatic,V6
Ferrari,488,Rear-wheel drive,Convertible,Automatic,V8
Land Rover,LR4,4WD/AWD,SUV/Crossover,Automatic,V6
BMW,F06/F12/F13 M6,Rear-wheel drive,Convertible,Manual,V8
Mercedes-Benz,E-Class,4WD/AWD,Sedan,Automatic,V6
Audi,A8,4WD/AWD,Sedan,Automatic,V6
McLaren,675LT,Rear-wheel drive,Convertible,Automatic,V8
BMW,6 Series,Rear-wheel drive,Convertible,Automatic,I6
Rolls-Royce,Phantom,Rear-wheel drive,Coupe,Automatic,V12
Mercedes-Benz,SLK-Class,Rear-wheel drive,Convertible,Automatic,V6
Alfa Romeo,4C,Rear-wheel drive,Convertible,Automatic,I4
MINI,Cooper Countryman,4WD/AWD,SUV/Crossover,Manual,I4
Cadillac,ATS,Rear-wheel drive,Coupe,Manual,I4
Subaru,Forester,4WD/AWD,SUV/Crossover,Automatic,H4
Jeep,Cherokee,4WD/AWD,SUV/Crossover,Automatic,V6
Audi,TT,4WD/AWD,Coupe,Automatic,I4
Lexus,GS,Rear-wheel drive,Sedan,Automatic,V6
BMW,5 Series,Rear-wheel drive,Sedan,Automatic,V8
Porsche,981 Cayman,Rear-wheel drive,Coupe,Automatic,H6
Cadillac,ATS-V,Rear-wheel drive,Sedan,Automatic,V6
BMW,F06/F12/F13 M6,Rear-wheel drive,Coupe,Manual,V8
BMW,4 Series,Rear-wheel drive,Convertible,Automatic,I6
BMW,6 Series,4WD/AWD,Coupe,Automatic,I6
Ram,3500,4WD/AWD,Truck,Manual,I6
Smart,Fortwo,Rear-wheel drive,Hatchback,Automatic,I3
Honda,Accord,Front-wheel drive,Coupe,Manual,V6
Bentley,Continental,Rear-wheel drive,Convertible,Automatic,V8
BMW,6 Series,Rear-wheel drive,Sedan,Automatic,V8
Zenos,E10,Rear-wheel drive,Convertible,Manual,I4
Mercedes-Benz,S-Class,Rear-wheel drive,Sedan,Automatic,V12
Audi,A5,4WD/AWD,Coupe,Manual,I4
Infiniti,Q70,Rear-wheel drive,Sedan,Automatic,V8
Jeep,Wrangler,4WD/AWD,Truck,Automatic,V8
Lotus,Exige,Rear-wheel drive,Coupe,Manual,V6
Shelby,Cobra,Rear-wheel drive,Convertible,Automatic,V8
Volvo,XC60,4WD/AWD,SUV/Crossover,Automatic,I6
Chevrolet,Express,4WD/AWD,Van/Minivan,Automatic,V8
Ferrari,FF,4WD/AWD,Hatchback,Automatic,V12
McLaren,650S,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Golf,Front-wheel drive,Wagon,Manual,I4
Bentley,Flying Spur,4WD/AWD,Sedan,Automatic,W12
BMW,F10 M5,Rear-wheel drive,Sedan,Manual,V8
Toyota,Tacoma,4WD/AWD,Truck,Automatic,V8
Mercedes-Benz,GL-Class,4WD/AWD,SUV/Crossover,Automatic,V6
Mercedes-Benz,W212 E63 AMG,4WD/AWD,Sedan,Automatic,V8
GMC,Yukon,Rear-wheel drive,SUV/Crossover,Automatic,V8
BMW,6 Series,4WD/AWD,Coupe,Automatic,V8
Jaguar,XJ,Rear-wheel drive,Sedan,Automatic,V6
Mercedes-Benz,R231 SL,Rear-wheel drive,Convertible,Automatic,V6
BMW,4 Series,Rear-wheel drive,Coupe,Automatic,I4
Mercedes-Benz,SLK AMG,Rear-wheel drive,Convertible,Automatic,V8
Hyundai,Genesis Coupe,Rear-wheel drive,Coupe,Manual,V6
Ford,GT 40 Replica,Rear-wheel drive,Coupe,Manual,V8
Ram,2500,Rear-wheel drive,Truck,Manual,I6
Mercedes-Benz,G Wagen,4WD/AWD,Truck,Automatic,V8
Ram,2500,4WD/AWD,Truck,Manual,I6
Honda,Accord,Front-wheel drive,Coupe,Automatic,V6
Ford,Mustang,Rear-wheel drive,Coupe,Manual,V6
WaterCar,Panther,Rear-wheel drive,Convertible,Manual,V6
BMW,4 Series,Rear-wheel drive,Coupe,Manual,I4
Audi,A3,Front-wheel drive,Wagon,Automatic,I4
Volvo,V60,4WD/AWD,Wagon,Automatic,I5
Mercedes-Benz,E-Class,Rear-wheel drive,Coupe,Automatic,V8
Campagna,T-REX,Rear-wheel drive,Convertible,Automatic,I6
Infiniti,Q50,Rear-wheel drive,Sedan,Automatic,V6
BMW,F06/F12/F13 M6,Rear-wheel drive,Sedan,Manual,V8
Jaguar,XFR,Rear-wheel drive,Sedan,Automatic,V8
Audi,R8,4WD/AWD,Coupe,Manual,V10
Scion,FR-S,Rear-wheel drive,Coupe,Manual,H4
Mercedes-Benz,GL-Class,4WD/AWD,SUV/Crossover,Automatic,V8
Audi,S5,4WD/AWD,Convertible,Automatic,V6
Mazda,NC Miata,Rear-wheel drive,Convertible,Manual,I4
Fiat,500 Abarth,Front-wheel drive,Coupe,Manual,I4
Cadillac,CTS-V,Rear-wheel drive,Coupe,Automatic,V8
Hyundai,Genesis,Rear-wheel drive,Sedan,Automatic,V8
Mazda,NC Miata,Rear-wheel drive,Convertible,Automatic,I4
BMW,5 Series,Rear-wheel drive,Sedan,Automatic,I4
Aston Martin,DB9,Rear-wheel drive,Coupe,Automatic,V12
Mitsubishi,Lancer Evolution,4WD/AWD,Sedan,Manual,I4
Scion,FR-S,Rear-wheel drive,Coupe,Automatic,H4
Ram,1500,4WD/AWD,Truck,Automatic,V6
BMW,6 Series,Rear-wheel drive,Convertible,Automatic,V8
Mitsubishi,Lancer Evolution,4WD/AWD,Sedan,Automatic,I4
Audi,RS5,4WD/AWD,Coupe,Automatic,V8
Volvo,XC70,Front-wheel drive,Wagon,Automatic,I4
MINI,Cooper,Front-wheel drive,Convertible,Manual,I4
Ferrari,F12,Rear-wheel drive,Coupe,Automatic,V12
Fiat,500 Abarth,Front-wheel drive,Convertible,Manual,I4
BMW,6 Series,4WD/AWD,Convertible,Automatic,V8
Mercedes-Benz,SLK-Class,Rear-wheel drive,Convertible,Manual,I4
BMW,X3,4WD/AWD,SUV/Crossover,Automatic,I4
Volkswagen,CC,Front-wheel drive,Sedan,Automatic,I4
Dodge,Challenger,Rear-wheel drive,Coupe,Automatic,V6
Volkswagen,Passat,Front-wheel drive,Sedan,Automatic,I4
BMW,Alpina B7,Rear-wheel drive,Sedan,Automatic,V8
Ford,Fiesta,Front-wheel drive,Sedan,Manual,I4
Volvo,XC70,4WD/AWD,Wagon,Automatic,I6
Cadillac,CTS,Rear-wheel drive,Sedan,Automatic,V6
Ferrari,458,Rear-wheel drive,Coupe,Automatic,V8
BMW,F8X M4,Rear-wheel drive,Sedan,Automatic,I6
Mercedes-Benz,ML AMG,4WD/AWD,SUV/Crossover,Automatic,V8
Nissan,Xterra,4WD/AWD,SUV/Crossover,Manual,V6
Cadillac,CTS-V,Rear-wheel drive,Coupe,Manual,V8
Audi,RS5,4WD/AWD,Convertible,Automatic,V8
Mercedes-Benz,SLS AMG,Rear-wheel drive,Convertible,Automatic,V8
Buick,Regal,Front-wheel drive,Sedan,Manual,I4
Audi,R8,4WD/AWD,Coupe,Manual,V8
Toyota,4Runner,Rear-wheel drive,SUV/Crossover,Automatic,V6
GMC,Savana,Rear-wheel drive,Van/Minivan,Automatic,V8
Audi,RS5,4WD/AWD,Coupe,Manual,V8
Chevrolet,Caprice,Rear-wheel drive,Truck,Manual,V8
Kia,K900,Rear-wheel drive,Sedan,Automatic,V8
Volkswagen,Beetle,Front-wheel drive,Hatchback,Automatic,I4
Lexus,RC,Rear-wheel drive,Coupe,Automatic,V6
Subaru,WRX,4WD/AWD,Sedan,Manual,Other
Mercedes-Benz,C-Class,Rear-wheel drive,Sedan,Automatic,I4
Jaguar,XKR,Rear-wheel drive,Convertible,Automatic,V8
Nissan,Xterra,4WD/AWD,SUV/Crossover,Automatic,V6
Ford,Explorer,4WD/AWD,SUV/Crossover,Automatic,V6
Chevrolet,Tahoe,Rear-wheel drive,SUV/Crossover,Automatic,V8
BMW,i3,Rear-wheel drive,Hatchback,Automatic,Other
Volkswagen,Eos,Front-wheel drive,Convertible,Automatic,I4
Mercedes-Benz,E-Class,4WD/AWD,Sedan,Automatic,I4
Chrysler,200S,4WD/AWD,Sedan,Automatic,V6
Cadillac,ATS,Rear-wheel drive,Sedan,Manual,I4
Subaru,WRX,4WD/AWD,Hatchback,Manual,H4
Lexus,IS F,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,ML-Class,4WD/AWD,SUV/Crossover,Automatic,V8
Jaguar,XKR,Rear-wheel drive,Coupe,Automatic,V8
Mazda,Mazda5,Front-wheel drive,Van/Minivan,Manual,I4
Toyota,FJ Cruiser,4WD/AWD,SUV/Crossover,Automatic,V6
Mercedes-Benz,SLK-Class,Rear-wheel drive,Convertible,Automatic,I4
Smart,Fortwo,Rear-wheel drive,Hatchback,Automatic,Electric
Porsche,Cayenne,4WD/AWD,SUV/Crossover,Manual,V6
Audi,A6,Front-wheel drive,Sedan,Automatic,I4
Audi,Q5,4WD/AWD,SUV/Crossover,Automatic,V6
Mercedes-Benz,E-Class,Rear-wheel drive,Sedan,Automatic,V6
Toyota,FJ Cruiser,4WD/AWD,SUV/Crossover,Manual,V6
Mercedes-Benz,CL AMG,Rear-wheel drive,Coupe,Automatic,V12
Mercedes-Benz,E-Class,4WD/AWD,Sedan,Automatic,V8
Toyota,RAV4,Front-wheel drive,SUV/Crossover,Automatic,Electric
Nissan,Murano,4WD/AWD,Convertible,Automatic,V6
Ford,Super Duty,4WD/AWD,SUV/Crossover,Automatic,V8
Mercedes-Benz,C-Class,4WD/AWD,Sedan,Automatic,V6
Falcon,F7,Rear-wheel drive,Coupe,Manual,V8
