Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
BMW,X7,4WD/AWD,SUV/Crossover,Automatic,I6
Chevrolet,C8 Corvette,4WD/AWD,Coupe,Automatic,V8
Nissan,Frontier,4WD/AWD,Truck,Automatic,V6
Mercedes-Benz,S-Class,4WD/AWD,Sedan,Automatic,V8
Ford,Ranger,4WD/AWD,Truck,Automatic,V6
Jaguar,F-Type,4WD/AWD,Coupe,Automatic,V8
Ford,Mustang,Rear-wheel drive,Coupe,Automatic,V8
MINI,Cooper,Front-wheel drive,Convertible,Automatic,I4
Mercedes-Benz,AMG GT,4WD/AWD,Coupe,Automatic,V8
Lotus,Emira,Rear-wheel drive,Coupe,Automatic,I4
Honda,Civic Type R,Front-wheel drive,Hatchback,Manual,I4
Tesla,Model 3,4WD/AWD,Sedan,Automatic,Electric
Ram,1500,4WD/AWD,Truck,Automatic,V8
Volkswagen,Jetta,Front-wheel drive,Sedan,Automatic,I4
MINI,Cooper,Front-wheel drive,Hatchback,Manual,I4
Ford,Bronco,4WD/AWD,SUV/Crossover,Manual,I4
BMW,X3,4WD/AWD,SUV/Crossover,Automatic,I6
Porsche,718 Cayman,Rear-wheel drive,Coupe,Automatic,H6
Tazzari,Zeromax,Front-wheel drive,Coupe,Automatic,Electric
Ram,2500,4WD/AWD,Truck,Automatic,I6
Ram,Promaster,Front-wheel drive,Van/Minivan,Automatic,V6
Ferrari,296,Rear-wheel drive,Convertible,Automatic,V6
Vanderhall,Carmel,Front-wheel drive,Convertible,Automatic,I4
GMC,Savana,4WD/AWD,Van/Minivan,Automatic,V8
MINI,Cooper,Front-wheel drive,Hatchback,Automatic,I4
Audi,RS5,4WD/AWD,Coupe,Automatic,V6
Ford,F-150 Raptor,4WD/AWD,Truck,Automatic,V6
Land Rover,Range Rover,4WD/AWD,SUV/Crossover,Automatic,V8
Toyota,Supra,Rear-wheel drive,Coupe,Manual,I6
Volkswagen,Golf R,4WD/AWD,Hatchback,Manual,I4
Jaguar,F-Pace,4WD/AWD,SUV/Crossover,Automatic,I6
Audi,C8 RS6,4WD/AWD,Wagon,Automatic,V8
BMW,i5,Rear-wheel drive,Sedan,Automatic,Electric
Lamborghini,Huracan,4WD/AWD,Convertible,Automatic,V10
Ferrari,296,Rear-wheel drive,Coupe,Automatic,V6
Porsche,718 Cayman,Rear-wheel drive,Coupe,Manual,H4
Jaguar,F-Type,4WD/AWD,Convertible,Automatic,V8
Land Rover,Range Rover,4WD/AWD,SUV/Crossover,Automatic,I6
Chevrolet,Silverado,4WD/AWD,Truck,Automatic,V8
Lexus,RC F,Rear-wheel drive,Coupe,Automatic,V8
GMC,Canyon,4WD/AWD,Truck,Automatic,I4
McLaren,750S,Rear-wheel drive,Coupe,Automatic,V8
Lamborghini,Huracan,4WD/AWD,Coupe,Automatic,V10
Cadillac,Lyriq,4WD/AWD,SUV/Crossover,Automatic,Electric
Toyota,Corolla,4WD/AWD,Hatchback,Manual,I3
Ford,F-150 Raptor,4WD/AWD,Truck,Automatic,V8
Acura,Integra,Front-wheel drive,Sedan,Manual,I4
Jeep,Gladiator,4WD/AWD,Truck,Automatic,V6
Ford,Mustang,Rear-wheel drive,Convertible,Automatic,V8
Cobra,Replica,Rear-wheel drive,Convertible,Manual,V8
Porsche,718 Cayman,Rear-wheel drive,Coupe,Automatic,H4
Toyota,86,Rear-wheel drive,Coupe,Manual,H4
Aston Martin,DBX,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,X7,4WD/AWD,SUV/Crossover,Automatic,V8
Polaris,Slingshot,Rear-wheel drive,Convertible,Manual,I4
BMW,M8,4WD/AWD,Coupe,Automatic,V8
Porsche,Macan,4WD/AWD,SUV/Crossover,Automatic,I4
BMW,Alpina XB7,4WD/AWD,SUV/Crossover,Automatic,V8
Toyota,Supra,Rear-wheel drive,Coupe,Automatic,I4
BMW,2 Series,4WD/AWD,Coupe,Automatic,I6
Ford,Transit,4WD/AWD,Van/Minivan,Automatic,V6
Audi,S5,4WD/AWD,Sedan,Automatic,V6
Volvo,S60,4WD/AWD,Sedan,Automatic,I4
Land Rover,Defender,4WD/AWD,SUV/Crossover,Automatic,I4
Ford,Bronco,4WD/AWD,SUV/Crossover,Automatic,I4
Toyota,Sequoia,4WD/AWD,SUV/Crossover,Automatic,V6
Chevrolet,Camaro,Rear-wheel drive,Convertible,Automatic,V8
Ford,Mustang Mach-E,4WD/AWD,SUV/Crossover,Automatic,Electric
Aston Martin,Vantage,Rear-wheel drive,Convertible,Automatic,V8
Toyota,Tacoma,4WD/AWD,Truck,Automatic,V6
BMW,7 Series,4WD/AWD,Sedan,Automatic,V8
Dodge,Charger,Rear-wheel drive,Sedan,Automatic,V8
Tesla,Model 3,Rear-wheel drive,Sedan,Automatic,Electric
Mercedes-Benz,EQS,4WD/AWD,SUV/Crossover,Automatic,Electric
Dodge,Challenger,Rear-wheel drive,Coupe,Automatic,V8
Dodge,Challenger,Rear-wheel drive,Coupe,Manual,V8
BMW,4 Series,Rear-wheel drive,Coupe,Automatic,I6
BMW,G8X M4,4WD/AWD,Convertible,Automatic,I6
Kia,Stinger,4WD/AWD,Sedan,Automatic,V6
Mercedes-Benz,Sprinter,4WD/AWD,Van/Minivan,Automatic,I4
Subaru,WRX,4WD/AWD,Sedan,Manual,H4
Mercedes-Benz,Metris,Rear-wheel drive,Van/Minivan,Automatic,I4
Mercedes-Benz,Sprinter,Rear-wheel drive,Van/Minivan,Automatic,V6
BMW,8 Series,4WD/AWD,Convertible,Automatic,V8
Ford,Expedition,4WD/AWD,SUV/Crossover,Automatic,V6
Mercedes-Benz,GLS-Class,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,i4,4WD/AWD,Sedan,Automatic,Electric
Alfa Romeo,Stelvio,4WD/AWD,SUV/Crossover,Automatic,V6
BMW,5 Series,4WD/AWD,Sedan,Automatic,V8
Ford,Bronco Raptor,4WD/AWD,SUV/Crossover,Automatic,V6
Ford,Super Duty,4WD/AWD,Truck,Automatic,V8
Audi,S3,4WD/AWD,Sedan,Automatic,I4
Chevrolet,Camaro,Rear-wheel drive,Coupe,Manual,V8
Mercedes-Benz,R230 SL,Rear-wheel drive,Convertible,Automatic,V8
BMW,3 Series,Rear-wheel drive,Sedan,Automatic,I4
BMW,i7,4WD/AWD,Sedan,Automatic,Electric
Nissan,Z,Rear-wheel drive,Coupe,Manual,V6
Bentley,Flying Spur,4WD/AWD,Sedan,Automatic,V6
Dodge,Challenger,Rear-wheel drive,Coupe,Automatic,Unknown
Genesis,G70,Rear-wheel drive,Sedan,Automatic,V6
Ford,Raptor R,4WD/AWD,Truck,Automatic,V8
Porsche,718 Boxster,Rear-wheel drive,Convertible,Manual,H6
Porsche,992 911,4WD/AWD,Convertible,Manual,H6
Campagna,T-REX,Rear-wheel drive,Convertible,Manual,I4
Toyota,Tacoma,4WD/AWD,Truck,Manual,V6
Audi,RS5,4WD/AWD,Sedan,Automatic,V6
Aston Martin,Vantage,Rear-wheel drive,Coupe,Automatic,V12
Audi,R8,Rear-wheel drive,Coupe,Automatic,V10
Jeep,Wrangler,4WD/AWD,SUV/Crossover,Automatic,V6
Audi,RS Q8,4WD/AWD,SUV/Crossover,Automatic,V8
Chrysler,300,Rear-wheel drive,Sedan,Automatic,V8
Ram,2500,4WD/AWD,Truck,Automatic,V8
Mercedes-Benz,C-Class AMG,Rear-wheel drive,Coupe,Automatic,V8
Kia,EV6,4WD/AWD,SUV/Crossover,Automatic,Electric
Land Rover,Range Rover Sport,4WD/AWD,SUV/Crossover,Automatic,I6
BMW,i4,Rear-wheel drive,Sedan,Automatic,Electric
Lexus,LC 500,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Jetta,Front-wheel drive,Sedan,Manual,I4
Polaris,Slingshot,Rear-wheel drive,Convertible,Automatic,I4
Fisker,Ocean,4WD/AWD,SUV/Crossover,Automatic,Electric
Mercedes-Benz,EQE,4WD/AWD,SUV/Crossover,Automatic,Electric
Mercedes-Benz,Sprinter,4WD/AWD,Van/Minivan,Automatic,V6
Toyota,Tundra,4WD/AWD,Truck,Automatic,V6
Nissan,Z,Rear-wheel drive,Coupe,Automatic,V6
Polestar,2,4WD/AWD,Sedan,Automatic,Electric
Jaguar,F-Type,Rear-wheel drive,Coupe,Automatic,V8
Dodge,Challenger,Rear-wheel drive,Convertible,Automatic,V8
Mercedes-Benz,R232 SL,4WD/AWD,Convertible,Automatic,V8
Mercedes-Benz,E-Class AMG,4WD/AWD,Wagon,Automatic,V8
Maserati,Ghibli,4WD/AWD,Sedan,Automatic,V6
BMW,G8X M4,Rear-wheel drive,Coupe,Automatic,I6
Cadillac,CT5-V,Rear-wheel drive,Sedan,Automatic,V8
Volkswagen,Arteon,4WD/AWD,Sedan,Automatic,I4
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Wagon,Automatic,V8
Mercedes-Benz,C-Class,4WD/AWD,Coupe,Automatic,I4
BMW,F90 M5,4WD/AWD,Sedan,Automatic,V8
Mercedes-Benz,GLE-Class,4WD/AWD,SUV/Crossover,Automatic,V8
Hyundai,Elantra,Front-wheel drive,Sedan,Manual,I4
Porsche,Panamera,4WD/AWD,Sedan,Automatic,V6
Volvo,S90,4WD/AWD,Sedan,Automatic,I4
Ferrari,F8,Rear-wheel drive,Convertible,Automatic,V8
Porsche,Taycan,4WD/AWD,Wagon,Automatic,Electric
MINI,Cooper Clubman,4WD/AWD,Wagon,Automatic,I4
GMC,Sierra,4WD/AWD,Truck,Automatic,I6
Cruise Car,eMoke,Front-wheel drive,Convertible,Automatic,Electric
Lordstown,Endurance,4WD/AWD,Truck,Automatic,Electric
Toyota,GR86,Rear-wheel drive,Coupe,Automatic,H4
BMW,8 Series,Rear-wheel drive,Sedan,Automatic,I6
Acura,TLX,4WD/AWD,Sedan,Automatic,V6
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Sedan,Automatic,V8
Genesis,GV60,4WD/AWD,SUV/Crossover,Automatic,Electric
Audi,S5,4WD/AWD,Coupe,Automatic,V6
Porsche,Taycan,Rear-wheel drive,Sedan,Automatic,Electric
Lexus,RX,4WD/AWD,SUV/Crossover,Automatic,I4
Ford,Maverick,Front-wheel drive,Truck,Automatic,I4
Lamborghini,Huracan,Rear-wheel drive,Coupe,Automatic,V10
Arcimoto,FUV,Front-wheel drive,Coupe,Automatic,Electric
Aston Martin,DBS,Rear-wheel drive,Coupe,Automatic,V12
Cadillac,Escalade,4WD/AWD,SUV/Crossover,Automatic,I6
Cadillac,Lyriq,Rear-wheel drive,SUV/Crossover,Automatic,Electric
BMW,XM,4WD/AWD,SUV/Crossover,Automatic,V8
Volkswagen,Mk8 GTI,Front-wheel drive,Hatchback,Automatic,I4
Maserati,Grecale,4WD/AWD,SUV/Crossover,Automatic,I4
Lexus,LX,4WD/AWD,SUV/Crossover,Automatic,V6
BMW,3 Series,Rear-wheel drive,Sedan,Automatic,I6
Ford,Maverick,4WD/AWD,Truck,Automatic,I4
Volvo,XC40,4WD/AWD,SUV/Crossover,Automatic,Electric
Little Car Company,Bugatti Baby II,Rear-wheel drive,Convertible,Automatic,Electric
Rivian,R1S,4WD/AWD,Truck,Automatic,Electric
Mercedes-Benz,GLE-Class,4WD/AWD,SUV/Crossover,Automatic,I6
Ford,Mustang Mach-E,Rear-wheel drive,SUV/Crossover,Automatic,Electric
Chevrolet,Camaro,Rear-wheel drive,Convertible,Manual,V8
BMW,iX,4WD/AWD,SUV/Crossover,Automatic,Electric
Alfa Romeo,Stelvio,4WD/AWD,SUV/Crossover,Automatic,I4
Audi,e-tron GT,4WD/AWD,Sedan,Automatic,Electric
Polestar,2,Front-wheel drive,Sedan,Automatic,Electric
Alfa Romeo,Giulia,4WD/AWD,Sedan,Automatic,I4
Cadillac,XT5,Front-wheel drive,SUV/Crossover,Automatic,V6
Lexus,GX,4WD/AWD,SUV/Crossover,Automatic,V8
Other,Kart,Rear-wheel drive,Convertible,Automatic,Electric
Audi,e-Tron,4WD/AWD,SUV/Crossover,Automatic,Electric
Jaguar,F-Pace,4WD/AWD,SUV/Crossover,Automatic,I4
Porsche,Panamera,4WD/AWD,Wagon,Automatic,V6
Honda,Civic,Front-wheel drive,Sedan,Manual,I4
BMW,Alpina B8 Gran Coupe,4WD/AWD,Sedan,Automatic,V8
Maserati,Levante,4WD/AWD,SUV/Crossover,Automatic,V6
Porsche,718 Boxster,Rear-wheel drive,Convertible,Manual,H4
Volvo,V90,4WD/AWD,Wagon,Automatic,I4
Audi,S7,4WD/AWD,Sedan,Automatic,V6
Mercedes-Benz,AMG GT 4-Door,4WD/AWD,Sedan,Automatic,I6
Ferrari,F8,Rear-wheel drive,Coupe,Automatic,V8
BMW,X6,4WD/AWD,SUV/Crossover,Automatic,V8
Audi,R8,4WD/AWD,Coupe,Automatic,V10
Audi,R8,Rear-wheel drive,Convertible,Automatic,V10
Ferrari,SF90,4WD/AWD,Coupe,Automatic,V8
Hyundai,Veloster,Front-wheel drive,Hatchback,Manual,I4
BMW,X4,4WD/AWD,SUV/Crossover,Automatic,I6
BMW,Alpina B7,4WD/AWD,Sedan,Automatic,V8
Alfa Romeo,Giulia,Rear-wheel drive,Sedan,Automatic,I4
Porsche,992 911,Rear-wheel drive,Convertible,Manual,H6
Audi,A6,4WD/AWD,Wagon,Automatic,V6
McLaren,720S,Rear-wheel drive,Coupe,Automatic,V8
Mercedes-Benz,C-Class AMG,4WD/AWD,Coupe,Automatic,V6
Subaru,WRX,4WD/AWD,Sedan,Automatic,I4
Acura,NSX,4WD/AWD,Coupe,Automatic,V6
Ford,Transit,Rear-wheel drive,Van/Minivan,Automatic,Electric
BMW,2 Series,Rear-wheel drive,Coupe,Automatic,I4
GMC,Hummer EV,4WD/AWD,Truck,Automatic,Electric
Toyota,Corolla,Front-wheel drive,Hatchback,Manual,I4
Porsche,718 Boxster,Rear-wheel drive,Convertible,Automatic,H4
Porsche,Panamera,4WD/AWD,Wagon,Automatic,V8
Genesis,G70,4WD/AWD,Sedan,Automatic,V6
Maserati,Levante,4WD/AWD,SUV/Crossover,Automatic,V8
Vanderhall,Venice,Front-wheel drive,Convertible,Automatic,I4
Hyundai,Kona,Front-wheel drive,SUV/Crossover,Automatic,I4
Karma,GS 6,Rear-wheel drive,Sedan,Automatic,I3
Audi,SQ5,4WD/AWD,SUV/Crossover,Automatic,V6
Porsche,Panamera,Rear-wheel drive,Sedan,Automatic,V6
Kia,Stinger,4WD/AWD,Sedan,Automatic,I4
Bentley,Bentayga,4WD/AWD,SUV/Crossover,Automatic,W12
Jeep,Wrangler,4WD/AWD,SUV/Crossover,Manual,V6
BMW,M8,4WD/AWD,Sedan,Automatic,V8
Audi,A4,4WD/AWD,Sedan,Automatic,I4
Ford,F-150,4WD/AWD,Truck,Automatic,V6
Revolution,A1,Rear-wheel drive,Convertible,Automatic,V6
Ferrari,812,Rear-wheel drive,Convertible,Automatic,V12
Subaru,BRZ,Rear-wheel drive,Coupe,Automatic,H4
Jaguar,F-Pace,4WD/AWD,SUV/Crossover,Automatic,V8
Volvo,XC60,4WD/AWD,SUV/Crossover,Automatic,I4
Lamborghini,Urus,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,G80 M3,Rear-wheel drive,Sedan,Automatic,I6
Rezvani,Tank,4WD/AWD,SUV/Crossover,Automatic,V6
Other,Kart,Rear-wheel drive,Convertible,Automatic,I4
BMW,X6,4WD/AWD,SUV/Crossover,Automatic,I6
Ford,Bronco,4WD/AWD,Truck,Automatic,V6
BMW,M8,4WD/AWD,Convertible,Automatic,V8
